year	category	n
1015	Centre Ave & PPG Paints Arena	35
1015	12th St & Penn Ave	58
1015	10th St & Penn Ave (David L. Lawrence Convention Center)	-33
1015	Fort Duquesne Blvd & 7th St	11
1015	North Shore Trail & Fort Duquesne Bridge	-20
1015	Isabella St & Federal St (PNC Park)	5
1015	Ridge Ave & Brighton Rd (CCAC)	-37
1015	Federal St & E North Ave	-22
1015	17th St & Penn Ave	-38
1015	21st St & Penn Ave	-67
1015	37th St & Butler St	-22
1015	42nd St & Butler St	-108
1015	42nd & Penn Ave.	93
1015	Taylor St & Liberty Ave	117
1015	Liberty Ave & S Millvale Ave (West Penn Hospital)	65
1015	Liberty Ave & Baum Blvd	-19
1015	S Negley Ave & Baum Blvd	13
1015	Penn Ave & N Fairmount St	75
1015	Penn Ave & S Whitfield St	-22
1015	Shady Ave & Ellsworth Ave	24
1015	Penn Ave & Putnam St (Bakery Square)	-37
1015	Alder St & S Highland Ave	10
1015	S Euclid Ave & Centre Ave	-11
1015	Maryland Ave & Ellsworth Ave	12
1015	Walnut St & College St	81
1015	Ivy St & Walnut St	-11
1015	Ellsworth Ave & N Neville St	28
1015	Fifth Ave & S Dithridge St	72
1015	Schenley Dr at Schenley Plaza (Carnegie Library Main)	-28
1015	Frew St & Schenley Dr	-35
1015	Boulevard of the Allies & Parkview Ave	-35
1015	Atwood St & Bates St	13
1015	Bigelow Blvd & Fifth Ave	22
1015	Fifth Ave & S Bouquet St	114
1015	Centre Ave & Kirkpatrick St	16
1015	Coltart Ave & Forbes Ave	-7
1015	Zulema St & Coltart Ave	-4
1015	S 27th St & Sidney St. (Southside Works)	-125
1015	S 25th St & E Carson St	-56
1015	S 22nd St & E Carson St	20
1015	S 18th St & Sidney St	-37
1015	S 12th St & E Carson St	-23
1115	10th St & Penn Ave (David L. Lawrence Convention Center)	-52
1115	12th St & Penn Ave	37
1115	17th St & Penn Ave	-15
1115	21st St & Penn Ave	-113
1115	37th St & Butler St	-10
1115	42nd & Penn Ave.	101
1115	42nd St & Butler St	-74
1115	Alder St & S Highland Ave	-1
1115	Atwood St & Bates St	21
1115	Bigelow Blvd & Fifth Ave	55
1115	Boulevard of the Allies & Parkview Ave	4
1115	Centre Ave & Kirkpatrick St	14
1115	Centre Ave & PPG Paints Arena	31
1115	Coltart Ave & Forbes Ave	-9
1115	Ellsworth Ave & N Neville St	33
1115	Federal St & E North Ave	-45
1115	Fifth Ave & S Bouquet St	106
1115	Fifth Ave & S Dithridge St	93
1115	First Ave & B St (T Station)	74
1115	First Ave & Smithfield St (Art Institute)	-18
1115	Forbes Ave & Grant St	-13
1115	Forbes Ave & Market Square	-72
1115	Fort Duquesne Blvd & 7th St	3
1115	Frew St & Schenley Dr	-62
1115	Isabella St & Federal St (PNC Park)	21
1115	Ivy St & Walnut St	-14
1115	Liberty Ave & Baum Blvd	-6
1115	Liberty Ave & S Millvale Ave (West Penn Hospital)	40
1115	Liberty Ave & Stanwix St	-64
1115	Maryland Ave & Ellsworth Ave	-4
1115	North Shore Trail & Fort Duquesne Bridge	-20
1115	Penn Ave & N Fairmount St	78
1115	Penn Ave & Putnam St (Bakery Square)	-40
1115	Penn Ave & S Whitfield St	-21
1115	Ridge Ave & Brighton Rd (CCAC)	-12
1115	Ross St & Sixth Ave (Steel Plaza T Station)	6
1115	S 12th St & E Carson St	-53
1115	S 18th St & Sidney St	-31
1115	S 22nd St & E Carson St	38
1115	S 25th St & E Carson St	-52
1115	S 27th St & Sidney St. (Southside Works)	-129
1115	S Euclid Ave & Centre Ave	-26
1115	S Negley Ave & Baum Blvd	30
1115	Schenley Dr at Schenley Plaza (Carnegie Library Main)	-41
1115	Shady Ave & Ellsworth Ave	36
1115	Stevenson St & Forbes Ave	22
1115	Taylor St & Liberty Ave	101
1115	Third Ave & Wood St	-7
1115	Walnut St & College St	79
1115	Zulema St & Coltart Ave	-19
1215	Liberty Ave & Stanwix St	-66
1215	Forbes Ave & Market Square	-98
1215	Third Ave & Wood St	2
1215	First Ave & Smithfield St (Art Institute)	-7
1215	First Ave & B St (T Station)	51
1215	Forbes Ave & Grant St	-15
1215	Ross St & Sixth Ave (Steel Plaza T Station)	6
1215	Stevenson St & Forbes Ave	8
1215	Centre Ave & PPG Paints Arena	31
1215	12th St & Penn Ave	54
1215	10th St & Penn Ave (David L. Lawrence Convention Center)	-55
1215	Fort Duquesne Blvd & 7th St	4
1215	North Shore Trail & Fort Duquesne Bridge	-44
1215	Isabella St & Federal St (PNC Park)	14
1215	Ridge Ave & Brighton Rd (CCAC)	-24
1215	Federal St & E North Ave	-22
1215	17th St & Penn Ave	-23
1215	21st St & Penn Ave	-90
1215	37th St & Butler St	-18
1215	42nd St & Butler St	-99
1215	42nd & Penn Ave.	107
1215	Taylor St & Liberty Ave	106
1215	Liberty Ave & S Millvale Ave (West Penn Hospital)	51
1215	Liberty Ave & Baum Blvd	-6
1215	S Negley Ave & Baum Blvd	32
1215	Penn Ave & N Fairmount St	82
1215	Penn Ave & S Whitfield St	-40
1215	Shady Ave & Ellsworth Ave	23
1215	Penn Ave & Putnam St (Bakery Square)	-44
1215	Alder St & S Highland Ave	10
1215	S Euclid Ave & Centre Ave	-16
1215	Maryland Ave & Ellsworth Ave	-12
1215	Walnut St & College St	97
1215	Ivy St & Walnut St	17
1215	Ellsworth Ave & N Neville St	41
1215	Fifth Ave & S Dithridge St	64
1215	Schenley Dr at Schenley Plaza (Carnegie Library Main)	-51
1215	Frew St & Schenley Dr	-58
1215	Boulevard of the Allies & Parkview Ave	22
1215	Atwood St & Bates St	24
1215	Bigelow Blvd & Fifth Ave	48
1215	Fifth Ave & S Bouquet St	93
1215	Centre Ave & Kirkpatrick St	19
1215	Coltart Ave & Forbes Ave	-20
1215	Zulema St & Coltart Ave	-8
1215	S 27th St & Sidney St. (Southside Works)	-105
1215	S 25th St & E Carson St	-46
1215	S 22nd St & E Carson St	40
1215	S 18th St & Sidney St	-27
1215	S 12th St & E Carson St	-46
0116	Liberty Ave & Stanwix St	-8
0116	Forbes Ave & Market Square	6
0116	Third Ave & Wood St	5
0116	First Ave & Smithfield St (Art Institute)	10
0116	First Ave & B St (T Station)	-2
0116	Forbes Ave & Grant St	-2
0116	Ross St & Sixth Ave (Steel Plaza T Station)	-9
0116	Stevenson St & Forbes Ave	0
0116	Centre Ave & PPG Paints Arena	10
0116	12th St & Penn Ave	3
0116	10th St & Penn Ave (David L. Lawrence Convention Center)	-8
0116	Fort Duquesne Blvd & 7th St	-2
0116	North Shore Trail & Fort Duquesne Bridge	-7
0116	Isabella St & Federal St (PNC Park)	11
0116	Ridge Ave & Brighton Rd (CCAC)	4
0116	Federal St & E North Ave	-7
0116	17th St & Penn Ave	-11
0116	21st St & Penn Ave	-13
0116	37th St & Butler St	-3
0116	42nd St & Butler St	-20
0116	42nd & Penn Ave.	20
0116	Taylor St & Liberty Ave	4
0116	Liberty Ave & S Millvale Ave (West Penn Hospital)	11
0116	Liberty Ave & Baum Blvd	10
0116	S Negley Ave & Baum Blvd	0
0116	Penn Ave & N Fairmount St	17
0116	Penn Ave & S Whitfield St	-12
0116	Shady Ave & Ellsworth Ave	1
0116	Penn Ave & Putnam St (Bakery Square)	-1
0116	Alder St & S Highland Ave	3
0116	S Euclid Ave & Centre Ave	-10
0116	Maryland Ave & Ellsworth Ave	-6
0116	Walnut St & College St	11
0116	Ivy St & Walnut St	-10
0116	Ellsworth Ave & N Neville St	-3
0116	Fifth Ave & S Dithridge St	-2
0116	Schenley Dr at Schenley Plaza (Carnegie Library Main)	1
0116	Frew St & Schenley Dr	-6
0116	Boulevard of the Allies & Parkview Ave	17
0116	Atwood St & Bates St	8
