1000,6,1,3,0,1,2,5,8,55,23,14,30,55,64,59,70,71,84,54,41,25,30,15,9,7,5,0,1,2,5,7,20,44,13,18,18,52,37,35,39,66,89,50,45,52,19,13,8,3,3,4,0,1,11,14,23,52,23,12,30,58,52,60,40,67,98,53,41,54,34,18,11,11,6,1,1,4,4,11,11,40,13,21,35,29,37,42,49,51,59,52,47,45,40,16,12,3,3,1,3,2,6,19,9,45,18,21,41,58,57,50,72,97,110,55,87,49,23,22,14,8,7,2,3,0,0,3,10,13,14,26,75,110,135,134,168,155,127,77,53,64,42,34,24,11,7,5,3,3,0,5,3,8,32,32,71,100,92,106,147,124,93,93,94,62,45,18,34
1001,4,5,2,0,2,9,28,53,59,15,18,34,50,39,38,38,24,60,59,39,32,22,10,16,7,0,2,4,2,11,40,59,55,30,26,25,59,42,37,40,49,48,56,35,32,27,12,22,16,1,0,3,0,12,42,60,43,26,20,55,54,58,45,33,38,50,54,51,37,20,18,5,9,4,0,0,2,6,33,58,41,19,23,48,68,52,20,28,36,50,42,41,33,16,16,12,5,0,6,0,2,10,26,65,52,35,22,51,91,80,49,72,54,64,61,54,68,47,33,21,17,9,2,2,3,0,3,21,18,23,27,57,84,99,113,163,75,111,60,82,67,32,27,21,9,6,10,2,5,2,6,13,31,72,102,113,120,115,113,106,105,85,96,78,42,24,22,17
1002,7,0,0,0,0,0,4,17,31,8,10,12,14,8,12,10,7,12,13,6,7,13,6,4,3,2,0,0,1,0,9,14,48,23,8,5,16,18,17,16,12,6,11,7,12,7,8,6,3,0,0,0,0,0,3,14,43,20,7,11,19,21,11,18,10,10,20,4,17,5,14,4,1,0,0,0,0,0,7,12,44,23,4,9,14,16,15,12,11,15,9,7,12,2,9,3,5,3,0,0,0,0,6,13,34,15,9,15,15,20,14,14,12,11,18,11,11,3,13,0,1,7,2,2,0,0,1,4,9,9,7,16,6,13,23,16,25,23,14,15,10,14,6,12,11,4,2,2,0,1,1,0,4,3,10,6,17,16,11,19,15,14,20,19,15,9,6,4
1003,2,2,1,8,0,0,0,6,32,17,8,9,20,20,9,6,16,13,7,8,12,6,5,4,1,1,3,0,0,0,1,6,42,15,2,8,11,15,10,12,13,25,9,10,17,14,6,5,1,0,0,1,0,0,2,10,47,20,17,12,15,25,21,10,22,16,19,11,14,15,7,5,1,2,5,0,0,2,1,9,39,16,13,4,11,16,14,30,11,11,4,14,12,12,3,6,1,2,0,0,0,0,0,6,49,14,8,9,21,25,26,20,15,15,19,13,15,5,9,9,6,1,0,1,0,0,0,1,5,11,24,21,20,35,21,38,52,42,49,23,16,10,8,0,3,1,1,0,1,1,1,2,2,11,9,14,10,30,30,25,33,17,22,26,13,15,6,4
1004,5,0,0,0,0,0,5,20,38,13,3,5,22,25,20,18,13,54,19,11,9,4,0,2,0,0,0,0,0,1,7,31,44,12,3,2,10,24,16,20,23,30,19,17,5,8,4,1,2,0,0,0,4,0,2,26,46,10,6,13,21,16,11,13,16,43,32,19,15,7,6,4,1,0,0,0,0,0,2,27,42,11,7,15,20,22,12,22,11,41,17,23,11,3,0,7,3,3,3,1,0,0,1,14,13,11,5,11,19,21,17,6,24,31,20,11,13,6,8,14,3,4,4,0,0,1,0,0,5,11,19,24,24,69,55,42,22,41,34,53,29,10,1,5,0,1,1,0,0,0,0,3,26,8,9,16,27,35,47,51,45,42,39,35,25,12,4,1
1005,0,0,3,0,5,3,1,16,43,13,10,22,20,21,6,6,7,4,9,9,4,2,0,4,0,3,0,0,1,0,1,19,61,34,28,13,27,33,27,17,8,8,8,5,3,4,7,0,4,0,1,0,0,7,5,24,49,28,13,5,16,28,10,5,11,8,7,10,8,7,8,3,1,5,0,1,1,0,1,27,55,25,9,9,23,34,11,12,6,14,9,2,8,2,2,1,0,0,0,0,1,1,4,22,48,13,10,8,26,21,13,16,26,13,10,7,7,3,4,3,3,4,0,0,0,0,0,5,2,3,8,4,19,17,10,9,17,9,6,13,11,5,2,3,0,0,0,0,0,0,3,0,3,2,12,14,15,17,15,10,24,16,11,12,6,5,0,0
1006,6,0,0,0,0,1,9,30,19,16,17,9,13,19,35,10,11,8,18,9,8,9,4,2,2,1,0,1,1,0,18,39,40,26,9,10,12,21,11,5,13,17,3,7,12,2,5,3,1,1,2,0,0,0,10,33,42,29,11,22,18,29,22,21,16,16,7,15,4,7,7,2,2,0,0,0,0,0,12,51,30,28,10,11,20,48,17,12,17,22,6,9,5,2,3,4,3,2,4,0,0,0,9,32,34,18,8,13,10,26,13,7,21,12,10,11,5,2,8,4,0,8,4,0,0,2,1,3,7,5,8,12,11,18,10,12,23,14,19,10,4,8,6,5,7,4,5,0,0,0,5,4,3,8,15,17,13,16,26,20,18,22,10,14,4,14,8,3
1007,10,1,1,0,0,1,10,23,13,6,5,8,3,5,4,6,15,18,10,24,3,4,4,1,2,3,0,0,0,2,1,12,18,9,2,15,8,6,10,11,11,4,22,16,1,6,6,3,1,2,1,0,0,2,13,25,11,8,4,11,11,7,8,6,19,20,10,17,6,3,10,2,3,2,0,0,0,1,11,18,14,5,6,7,8,7,6,1,6,20,12,15,11,4,2,3,1,1,2,5,0,1,3,22,7,7,5,11,16,12,4,9,14,13,16,8,7,16,3,8,10,1,7,3,0,2,2,12,1,3,2,7,6,14,25,32,17,20,7,3,6,9,8,10,4,0,4,3,2,6,0,6,4,14,5,7,9,23,23,17,17,21,18,9,11,8,10,5
1008,3,0,0,3,3,0,1,0,3,0,0,2,0,5,3,3,3,9,9,9,5,2,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,3,0,2,5,17,12,7,8,4,2,0,4,0,0,0,0,0,0,1,1,1,5,2,0,4,2,4,7,16,14,6,10,3,1,1,1,0,0,0,0,0,0,0,0,0,2,6,0,1,0,6,15,20,16,4,6,7,5,2,0,0,1,2,2,0,0,1,0,1,4,1,2,1,2,4,8,11,3,5,0,8,2,0,1,1,0,0,0,0,0,0,0,0,0,7,8,1,5,0,10,16,3,0,1,2,8,2,1,0,3,0,0,0,0,0,1,7,4,3,1,1,10,4,6,3,3,4,7,3,2,1
1009,0,0,0,0,1,1,1,5,8,3,2,8,38,34,20,28,9,12,3,12,10,8,1,7,2,0,0,0,1,0,1,1,5,1,6,12,20,13,8,15,14,18,22,9,5,7,2,0,4,1,0,0,0,0,1,2,8,8,11,10,27,30,14,32,31,31,19,6,7,14,14,9,1,0,4,0,0,1,0,8,10,3,8,8,21,20,20,20,9,14,18,17,5,5,7,2,2,0,0,1,1,0,1,9,4,5,6,7,22,23,22,18,9,23,17,7,10,5,8,6,0,1,1,0,0,1,1,1,3,2,17,18,26,22,36,26,38,37,13,8,16,6,5,5,12,8,7,2,0,0,1,3,5,7,23,36,22,22,11,27,13,26,12,34,9,12,3,7
