计数/Trip id,列标签,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,16,183,2,1,,5,2,2,,7,15,8,7,24,,,13,28,25,60,61,42,28,16,27,120,162,7,16,28,74,9,6,57,32,18,21,12,,2,46,22,,3,15,4,1,,,1,1228
1026,146,7,2,1,,,2,,,3,5,1,7,11,,3,1,17,16,40,83,101,62,32,49,26,96,6,38,13,12,12,25,44,50,20,30,4,1,6,7,10,,5,27,8,2,1,2,,1034
1027,7,3,,1,3,1,,,1,,2,6,2,4,,1,3,11,4,5,13,8,14,15,12,11,5,97,34,55,10,27,54,106,42,34,15,13,,,12,13,,29,,8,,,3,,684
1028,5,3,3,5,1,1,1,,1,2,9,3,10,6,1,2,1,4,11,8,26,45,41,31,16,9,25,30,286,367,13,18,70,104,53,10,49,10,4,3,27,40,,23,3,6,1,2,1,7,1397
1029,5,2,2,3,,1,,,,1,2,5,7,10,,,4,16,12,14,12,20,26,48,41,15,15,23,559,250,14,52,58,147,102,37,23,9,2,7,89,110,,3,7,18,3,2,3,1,1780
1030,2,1,,3,1,,3,1,2,1,2,2,,3,,,3,14,13,11,8,26,46,53,57,18,20,7,14,10,113,4,22,15,24,14,12,7,1,4,6,9,,3,3,2,,,1,,561
1031,5,12,2,,2,,2,,,3,10,2,6,5,2,1,55,19,15,20,29,11,24,43,5,,12,24,18,52,6,159,75,41,62,68,30,11,12,16,49,53,,9,6,17,1,3,,7,1004
1032,11,18,36,6,16,3,33,,,3,71,3,7,3,1,2,5,16,9,18,28,16,8,29,22,4,24,52,99,59,41,160,349,62,84,66,74,78,1,5,34,56,,17,3,11,6,10,6,,1665
1033,27,16,3,11,6,2,18,3,,1,34,9,9,19,1,5,16,69,24,45,68,50,71,61,103,54,51,92,88,200,21,94,61,330,164,161,71,79,8,56,84,242,,32,16,24,12,,13,2,2626
1034,15,4,3,3,11,1,4,5,1,6,7,9,8,5,,,10,26,7,7,16,29,11,54,55,4,58,44,69,105,25,60,50,279,257,40,51,193,23,36,49,92,3,9,18,37,9,3,3,1,1815
1035,20,10,3,5,22,6,9,1,2,2,5,4,1,3,1,5,6,17,10,22,48,20,29,196,60,8,26,38,26,45,12,59,91,172,41,271,85,141,51,51,21,95,1,23,33,23,3,6,3,10,1842
1036,30,34,5,6,29,10,2,13,,2,10,5,13,7,3,1,4,17,9,15,17,26,38,33,45,12,23,7,19,38,8,45,53,110,48,51,892,110,334,76,54,71,,40,52,67,9,13,9,15,2530
