origin,destination,count
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1001,1000,19
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1002,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1003,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1004,1000,15
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1005,1000,19
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1006,1000,21
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1007,1000,19
1008,1000,35
1008,1000,35
1008,1000,35
1008,1000,35
1008,1000,35
1008,1000,35
1008,1000,35
1008,1000,35
1008,1000,35
1008,1000,35
1008,1000,35
1008,1000,35
1008,1000,35
